src,dst
0,5
0,2
0,0
0,1
0,4
1,5
1,2
1,0
1,1
1,4
2,5
2,2
2,0
2,1
2,4
3,5
3,2
3,0
3,1
3,4
4,5
4,2
4,0
4,1
4,4
5,5
5,2
5,0
5,1
5,4
6,5
6,2
6,0
6,1
6,4
7,5
7,2
7,0
7,1
7,4
8,5
8,2
8,0
8,1
8,4
9,5
9,2
9,0
9,1
9,4
10,5
10,2
10,0
10,1
10,4
11,5
11,2
11,0
11,1
11,4
12,5
12,2
12,0
12,1
12,4
13,5
13,2
13,0
13,1
13,4
14,5
14,2
14,0
14,1
14,4
15,5
15,2
15,0
15,1
15,4
16,5
16,2
16,0
16,1
16,4
17,5
17,2
17,0
17,1
17,4
18,5
18,2
18,0
18,1
18,4
19,5
19,2
19,0
19,1
19,4
20,5
20,2
20,0
20,1
20,4
21,5
21,2
21,0
21,1
21,4
22,5
22,2
22,0
22,1
22,4
23,5
23,2
23,0
23,1
23,4
24,5
24,2
24,0
24,1
24,4
25,5
25,2
25,0
25,1
25,4
26,5
26,2
26,0
26,1
26,4
27,5
27,2
27,0
27,1
27,4
28,5
28,2
28,0
28,1
28,4
29,5
29,2
29,0
29,1
29,4
30,5
30,2
30,0
30,1
30,4
31,5
31,2
31,0
31,1
31,4
32,5
32,2
32,0
32,1
32,4
33,5
33,2
33,0
33,1
33,4
34,5
34,2
34,0
34,1
34,4
35,5
35,2
35,0
35,1
35,4
36,5
36,2
36,0
36,1
36,4
37,5
37,2
37,0
37,1
37,4
38,5
38,2
38,0
38,1
38,4
39,5
39,2
39,0
39,1
39,4
40,5
40,2
40,0
40,1
40,4
41,5
41,2
41,0
41,1
41,4
42,5
42,2
42,0
42,1
42,4
43,5
43,2
43,0
43,1
43,4
44,5
44,2
44,0
44,1
44,4
45,5
45,2
45,0
45,1
45,4
46,5
46,2
46,0
46,1
46,4
47,5
47,2
47,0
47,1
47,4
48,5
48,2
48,0
48,1
48,4
49,5
49,2
49,0
49,1
49,4
50,5
50,2
50,0
50,1
50,4
51,5
51,2
51,0
51,1
51,4
52,5
52,2
52,0
52,1
52,4
53,5
53,2
53,0
53,1
53,4
54,5
54,2
54,0
54,1
54,4
55,5
55,2
55,0
55,1
55,4
56,5
56,2
56,0
56,1
56,4
57,5
57,2
57,0
57,1
57,4
58,5
58,2
58,0
58,1
58,4
59,5
59,2
59,0
59,1
59,4
60,5
60,2
60,0
60,1
60,4
61,5
61,2
61,0
61,1
61,4
62,5
62,2
62,0
62,1
62,4
63,5
63,2
63,0
63,1
63,4
64,5
64,2
64,0
64,1
64,4
65,5
65,2
65,0
65,1
65,4
66,5
66,2
66,0
66,1
66,4
67,5
67,2
67,0
67,1
67,4
68,5
68,2
68,0
68,1
68,4
69,5
69,2
69,0
69,1
69,4
70,5
70,2
70,0
70,1
70,4
71,5
71,2
71,0
71,1
71,4
72,5
72,2
72,0
72,1
72,4
73,5
73,2
73,0
73,1
73,4
74,5
74,2
74,0
74,1
74,4
75,5
75,2
75,0
75,1
75,4
76,5
76,2
76,0
76,1
76,4
77,5
77,2
77,0
77,1
77,4
78,5
78,2
78,0
78,1
78,4
79,5
79,2
79,0
79,1
79,4
80,5
80,2
80,0
80,1
80,4
81,5
81,2
81,0
81,1
81,4
82,5
82,2
82,0
82,1
82,4
83,5
83,2
83,0
83,1
83,4
84,5
84,2
84,0
84,1
84,4
85,5
85,2
85,0
85,1
85,4
86,5
86,2
86,0
86,1
86,4
87,5
87,2
87,0
87,1
87,4
88,5
88,2
88,0
88,1
88,4
89,5
89,2
89,0
89,1
89,4
90,5
90,2
90,0
90,1
90,4
91,5
91,2
91,0
91,1
91,4
92,5
92,2
92,0
92,1
92,4
93,5
93,2
93,0
93,1
93,4
94,5
94,2
94,0
94,1
94,4
95,5
95,2
95,0
95,1
95,4
96,5
96,2
96,0
96,1
96,4
97,5
97,2
97,0
97,1
97,4
98,5
98,2
98,0
98,1
98,4
99,5
99,2
99,0
99,1
99,4
100,5
100,2
100,0
100,1
100,4
101,5
101,2
101,0
101,1
101,4
102,5
102,2
102,0
102,1
102,4
103,5
103,2
103,0
103,1
103,4
104,5
104,2
104,0
104,1
104,4
105,5
105,2
105,0
105,1
105,4
106,5
106,2
106,0
106,1
106,4
107,5
107,2
107,0
107,1
107,4
108,5
108,2
108,0
108,1
108,4
109,5
109,2
109,0
109,1
109,4
110,5
110,2
110,0
110,1
110,4
111,5
111,2
111,0
111,1
111,4
112,5
112,2
112,0
112,1
112,4
113,5
113,2
113,0
113,1
113,4
114,5
114,2
114,0
114,1
114,4
115,5
115,2
115,0
115,1
115,4
116,5
116,2
116,0
116,1
116,4
117,5
117,2
117,0
117,1
117,4
118,5
118,2
118,0
118,1
118,4
119,5
119,2
119,0
119,1
119,4
120,5
120,2
120,0
120,1
120,4
121,5
121,2
121,0
121,1
121,4
122,5
122,2
122,0
122,1
122,4
123,5
123,2
123,0
123,1
123,4
124,5
124,2
124,0
124,1
124,4
125,5
125,2
125,0
125,1
125,4
126,5
126,2
126,0
126,1
126,4
127,5
127,2
127,0
127,1
127,4
128,5
128,2
128,0
128,1
128,4
129,5
129,2
129,0
129,1
129,4
130,5
130,2
130,0
130,1
130,4
131,5
131,2
131,0
131,1
131,4
132,5
132,2
132,0
132,1
132,4
133,5
133,2
133,0
133,1
133,4
134,5
134,2
134,0
134,1
134,4
135,5
135,2
135,0
135,1
135,4
136,5
136,2
136,0
136,1
136,4
